"question","expectedEntryId","expectedTitle","expectedIntent","answerLengthMode","source"
"优优无机板是什么材料做的","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"是什么材料做的","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"优优无机板是什么材料做的？优优无机板含什么材料？里面是什么？","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"优优无机板是什么材料做的怎么讲","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"优优无机板是什么材料做的怎么给客户讲","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"优优无机板是什么材料做的完整讲一下","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"优优无机板是什么材料做的详细讲一下","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"优优无机板是什么材料做的标准文案","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"优优无机板是什么材料做的标准答案","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"优优无机板是什么材料做的客户问怎么回答","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"优优无机板是什么材料做的经销商话术","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"优优无机板是什么材料做的门店怎么说","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"优优无机板是什么材料做的朋友圈怎么发","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"优优无机板是什么材料做的短视频怎么讲","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"优优无机板是什么材料做的配什么图","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"优优无机板是什么材料做的给客户看什么资料","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"优优无机板是什么材料做的和普通材料有什么区别","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"客户问优优无机板是什么材料做的","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"给客户介绍优优无机板是什么材料做的","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"帮我讲优优无机板是什么材料做的","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"优优无机板是什么材料做的是不是宣传","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"优优无机板是什么材料做的有什么优势","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"优优无机板是什么材料做的注意边界","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"是什么材料做的怎么讲","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"是什么材料做的怎么给客户讲","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"是什么材料做的完整讲一下","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"是什么材料做的详细讲一下","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"是什么材料做的标准文案","material-composition-core","优优无机板是什么材料做的","door","full","generated-standard-route-bank"
"为什么讲玄武岩材料体系","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"玄武岩是什么？为什么优优无机板要讲玄武岩？玄武岩和无机板有什么关系？","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料体系怎么讲","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料体系怎么给客户讲","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料体系完整讲一下","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料体系详细讲一下","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料体系标准文案","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料体系标准答案","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料体系客户问怎么回答","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料体系经销商话术","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料体系门店怎么说","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料体系朋友圈怎么发","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料体系短视频怎么讲","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料体系配什么图","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料体系给客户看什么资料","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料体系和普通材料有什么区别","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"客户问为什么讲玄武岩材料体系","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"给客户介绍为什么讲玄武岩材料体系","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"帮我讲为什么讲玄武岩材料体系","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料体系是不是宣传","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
"为什么讲玄武岩材料体系有什么优势","material-source-basalt","为什么讲玄武岩材料体系","test-report","full","generated-standard-route-bank"
